PROIZVOD,SASTOJAK,KATEGORIJA,KOLICINA,JM,CIJENA,UKUPNO,NEW_KATEGORIJA,OLD_KATEGORIJA
MINI CHICKENBURGER,Mini Fillet Bun 45g KFC-Paket,MESO,1.0,KOM,0.32,0.32,PECIVO,MESO
,,,,,,0.977226,OSTALO,
MINI CHICKENBURGER D,Mini Fillet Bun 45g KFC-Paket,MESO,1.0,KOM,0.32,0.32,PECIVO,MESO
,,,,,,0.977226,OSTALO,
MINI CHEESEBURGER,Mini Fillet Bun 45g KFC-Paket,MESO,1.0,KOM,0.32,0.32,PECIVO,MESO
,,,,,,1.145732,OSTALO,
MINI CHEESEBURGER D,Mini Fillet Bun 45g KFC-Paket,MESO,1.0,KOM,0.32,0.32,PECIVO,MESO
,,,,,,1.145207,OSTALO,
,Smoky BBQ 1kg,OSTALO,0.02,KG,8.76,0.1752,SOS,OSTALO
,,,,,,1.992684,OSTALO,
,Smoky BBQ 1kg,OSTALO,0.02,KG,8.76,0.1752,SOS,OSTALO
,,,,,,1.992684,OSTALO,
,,,,,,1.699474,OSTALO,
,,,,,,1.698949,OSTALO,
,,,,,,1.563687,OSTALO,
,,,,,,1.563687,OSTALO,
,,,,,,1.5351345,OSTALO,
,,,,,,1.5351345,OSTALO,
,,,,,,1.835582,OSTALO,
,,,,,,1.835582,OSTALO,
,,,,,,1.8851715,OSTALO,
,,,,,,1.8851715,OSTALO,
BOXMASTER OR,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,,,,,,2.433436,OSTALO,
BOXMASTER OR D,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,,,,,,2.433436,OSTALO,
BOXMASTER H&S,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,,,,,,2.4048835,OSTALO,
BOXMASTER H&S D,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,,,,,,2.4048835,OSTALO,
,,,,,,2.912208,OSTALO,
,,,,,,2.912208,OSTALO,
,,,,,,2.969313,OSTALO,
,,,,,,2.969313,OSTALO,
,Onion rings-paket,POVRĆE,0.0334,KG,7.13,0.238142,SIDES/DODACI,POVRĆE
,Smoky BBQ 1kg,OSTALO,0.0192,KG,8.76,0.168192,SOS,OSTALO
,,,,,,2.765029,OSTALO,
,Onion rings-paket,POVRĆE,0.0334,KG,7.13,0.238142,SIDES/DODACI,POVRĆE
,Smoky BBQ 1kg,OSTALO,0.0192,KG,8.76,0.168192,SOS,OSTALO
,,,,,,2.765029,OSTALO,
,Onion rings-paket,POVRĆE,0.0334,KG,7.13,0.238142,SIDES/DODACI,POVRĆE
,Smoky BBQ 1kg,OSTALO,0.0192,KG,8.76,0.168192,SOS,OSTALO
,,,,,,2.7364765,OSTALO,
,Onion rings-paket,POVRĆE,0.0334,KG,7.13,0.238142,SIDES/DODACI,POVRĆE
,Smoky BBQ 1kg,OSTALO,0.0192,KG,8.76,0.168192,SOS,OSTALO
,,,,,,2.7364765,OSTALO,
TOWER OR BURGER,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,,,,,,1.939087,OSTALO,
TOWER OR D,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,,,,,,1.939087,OSTALO,
TOWER H&S BURGER,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,,,,,,1.9105345,OSTALO,
TOWER HS D,Oval Hashbrown-paket,OSTALO,1.0,KOM,0.21,0.21,SIDES/DODACI,OSTALO
,,,,,,1.9105345,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,2.473159749999999,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,3.060691,OSTALO,
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,2.608946750000001,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,3.195953,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,"Čaša 0,4 Paket",OSTALO,1.0,KOM,0.08,0.08,AMBALAŽA,OSTALO
,,,,,,2.44460725,OSTALO,
,KFC Fries 9/9- paket,OSTALO,0.1485,KG,2.58,0.38313,SIDES/DODACI,OSTALO
,Salt 1 kg KFC,OSTALO,0.0009,KG,1.38,0.001242,ZAČINI,OSTALO
,Fries Bag XL KFC,AMBALAŽA,1.0,KOM,0.01,0.01,SIDES/DODACI,AMBALAŽA
,,,,,,3.0321385,OSTALO,
