SASTOJAK,PROIZVOD_LIST,JM,AVG_KOLICINA
"COCA COLA 0,33","COCA COLA 0,33; COCA COLA ZERO 0,33 D; COCA COLA 0,33 D",KOM,1
"COCA COLA ZERO 0,33","COCA COLA ZERO 0,33; COCA COLA ZERO 0,33 D",KOM,1
"FANTA 0,33","FANTA 0,33; FANTA 0,33 D",KOM,1
"OLIMPIJA MINERALNA 0,5","OLIMPIJA MINERALNA 0,5; OLIMPIJA MINERALNA 0,5_D",KOM,1
"OLIMPIJA NATURALNA 0,5","OLIMPIJA NATURALNA 0,5_D; OLIMPIJA NATURALNA 0,5",KOM,1
"YIPPY APPLE 0,2","YIPPY APPLE 0,2",KOM,1
"YIPPY CHERRY 0,2","YIPPY CHERRY 0,2",KOM,1
"YIPPY MULTIVITAMIN 0,2","YIPPY MULTIVITAMIN 0,2",KOM,1
"YIPPY ORANGE 0,2","YIPPY ORANGE 0,2",KOM,1
"YIPPY PEACH 0,2","YIPPY PEACH 0,2",KOM,1
YIPPY TREŠNJA 0.2,"YIPPY CHERRY 0,2",KOM,1
