PROIZVOD,SASTOJAK,KATEGORIJA,KOLICINA,JM,CIJENA,UKUPNO
MINI CHICKENBURGER,Mini Fillet Bun 45g KFC-Paket,MESO,1.0,KOM,0.32,0.32
,"MAYONNAISE 4X0,95",SOS,0.0096,KG,6.22,0.05971199999999999
,Pileće Meso Strips,MESO,1.0,KOM,0.43,0.43
,TMOR MARINADE,MARINADA,0.0008,KG,9.3,0.007440000000000001
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0107,KG,0.97,0.010379
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0023,KG,12.05,0.027715
,Shortening KFC,ULJE,0.0082,L,3.44,0.028208
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,"Onion ( washed, cut, packed)",POVRĆE,0.003,KG,10.5,0.0315
,"Sliced Pickles 2,5/1,2",POVRĆE,0.0058,KG,3.84,0.022272
,Twister Wrap KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,,,,,,0.977226
MINI CHICKENBURGER D,Mini Fillet Bun 45g KFC-Paket,MESO,1.0,KOM,0.32,0.32
,"MAYONNAISE 4X0,95",SOS,0.0096,KG,6.22,0.05971199999999999
,Pileće Meso Strips,MESO,1.0,KOM,0.43,0.43
,TMOR MARINADE,MARINADA,0.0008,KG,9.3,0.007440000000000001
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0107,KG,0.97,0.010379
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0023,KG,12.05,0.027715
,Shortening KFC,ULJE,0.0082,L,3.44,0.028208
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,"Onion ( washed, cut, packed)",POVRĆE,0.003,KG,10.5,0.0315
,"Sliced Pickles 2,5/1,2",POVRĆE,0.0058,KG,3.84,0.022272
,Twister Wrap KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,,,,,,0.977226
MINI CHEESEBURGER,Mini Fillet Bun 45g KFC-Paket,MESO,1.0,KOM,0.32,0.32
,Pileće Meso Strips,MESO,1.0,KOM,0.43,0.43
,TMOR MARINADE,MARINADA,0.0008,KG,9.3,0.007440000000000001
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0107,KG,0.97,0.010379
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0023,KG,12.05,0.027715
,Shortening KFC,ULJE,0.0082,L,3.44,0.028208
,Sliced cheese KFC,SIR,1.0,KOM,0.14,0.14
,Ketchup-paket,SOS,0.0192,KG,4.54,0.087168
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,"Onion ( washed, cut, packed)",POVRĆE,0.0031,KG,10.5,0.03255
,"Sliced Pickles 2,5/1,2",POVRĆE,0.0058,KG,3.84,0.022272
,Twister Wrap KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,,,,,,1.145732
MINI CHEESEBURGER D,Mini Fillet Bun 45g KFC-Paket,MESO,1.0,KOM,0.32,0.32
,Pileće Meso Strips,MESO,1.0,KOM,0.43,0.43
,TMOR MARINADE,MARINADA,0.0008,KG,9.3,0.007440000000000001
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0107,KG,0.97,0.010379
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0023,KG,12.05,0.027715
,Shortening KFC,ULJE,0.0082,L,3.44,0.028208
,Sliced cheese KFC,SIR,1.0,KOM,0.14,0.14
,Ketchup-paket,SOS,0.0192,KG,4.54,0.087168
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,"Onion ( washed, cut, packed)",POVRĆE,0.00305,KG,10.5,0.032025
,"Sliced Pickles 2,5/1,2",POVRĆE,0.0058,KG,3.84,0.022272
,Twister Wrap KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,,,,,,1.145207
QURRITO,Sliced cheese KFC,SIR,3.0,KOM,0.14,0.42
,Pileće Meso Strips,MESO,2.0,KOM,0.43,0.86
,TMOR MARINADE,MARINADA,0.0016,KG,9.3,0.01488
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0214,KG,0.97,0.020758
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0046,KG,12.05,0.05543
,Shortening KFC,ULJE,0.0164,L,3.44,0.056416
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,"TORTILLA  10,5'' FROZEN",PECIVO,1.0,KOM,0.32,0.32
,Smoky BBQ 1kg,OSTALO,0.02,KG,8.76,0.1752
,Quritto Bag,AMBALAŽA,1.0,KOM,0.05,0.05
,,,,,,1.992684
QURRITO D,Sliced cheese KFC,SIR,3.0,KOM,0.14,0.42
,Pileće Meso Strips,MESO,2.0,KOM,0.43,0.86
,TMOR MARINADE,MARINADA,0.0016,KG,9.3,0.01488
,"Flour 11,34 kg KFC",BRAŠNO/PANIRANJE,0.0214,KG,0.97,0.020758
,BREADING MIX 3 IN 1,BRAŠNO/PANIRANJE,0.0046,KG,12.05,0.05543
,Shortening KFC,ULJE,0.0164,L,3.44,0.056416
,Napkins.KFC,AMBALAŽA,1.0,KOM,0.02,0.02
,"TORTILLA  10,5'' FROZEN",PECIVO,1.0,KOM,0.32,0.32
,Smoky BBQ 1kg,OSTALO,0.02,KG,8.76,0.1752
,Quritto Bag,AMBALAŽA,1.0,KOM,0.05,0.05
,,,,,,1.992684
DOUBLE CHEESEBURGER,Pileće Meso Strips,MESO,2.0,KOM,0.43,0.86
